epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,31.5854,3.22387,14.1634,0.34185,0,0,0,0,0,0,0,0,0,3.39769,10.8384,0.20418,0.000162,5.4e-05,0.000162,5.4e-05,0.099162,0.099054,0.000162,5.4e-05
2,48.387,3.26937,5.99657,0.32382,0,0,0,0,0,0,0,0,0,3.40291,10.8364,0.2042,0.000485886,0.000161962,0.000485886,0.000161962,0.0974859,0.097162,0.000485886,0.000161962
3,67.7027,3.351,6.19062,0.27967,0,0,0,0,0,0,0,0,0,3.40929,10.8364,0.2042,0.00080924,0.000269747,0.00080924,0.000269747,0.0958092,0.0952697,0.00080924,0.000269747
4,90.9481,3.06819,20.7029,0.29367,0,0,0,0,0,0,0,0,0,3.41447,10.8334,0.20426,0.00113161,0.000377203,0.00113161,0.000377203,0.0941316,0.0933772,0.00113161,0.000377203
5,102.637,3.7868,5.19854,0.42954,0,0,0,0,0,0,0,0,0,3.4208,10.8334,0.20426,0.00145254,0.000484179,0.00145254,0.000484179,0.0924525,0.0914842,0.00145254,0.000484179
6,118.612,3.22545,6.47658,0.41854,0,0,0,0,0,0,0,0,0,3.42544,10.8278,0.20434,0.00177157,0.000590524,0.00177157,0.000590524,0.0907716,0.0895905,0.00177157,0.000590524
7,139.618,3.61659,8.724,0.28972,0,0,0,0,0,0,0,0,0,3.43171,10.8278,0.20434,0.00208827,0.000696091,0.00208827,0.000696091,0.0890883,0.0876961,0.00208827,0.000696091
8,154.785,3.7132,6.79754,0.32833,0,0,0,0,0,0,0,0,0,3.43794,10.8278,0.20434,0.00240219,0.000800729,0.00240219,0.000800729,0.0874022,0.0858007,0.00240219,0.000800729
9,175.907,3.60482,6.39394,0.25659,0,0,0,0,0,0,0,0,0,3.44133,10.783,0.20433,0.00271288,0.000904293,0.00271288,0.000904293,0.0857129,0.0839043,0.00271288,0.000904293
10,189.929,3.59317,6.73183,0.31672,0,0,0,0,0,0,0,0,0,3.4475,10.783,0.20433,0.00301992,0.00100664,0.00301992,0.00100664,0.0840199,0.0820066,0.00301992,0.00100664
11,204.514,3.3725,5.85232,0.37526,0,0,0,0,0,0,0,0,0,3.45365,10.783,0.20433,0.00332287,0.00110762,0.00332287,0.00110762,0.0823229,0.0801076,0.00332287,0.00110762
12,217.778,3.65,15.0078,0.58332,0,0,0,0,0,0,0,0,0,3.45976,10.783,0.20433,0.00362131,0.0012071,0.00362131,0.0012071,0.0806213,0.0782071,0.00362131,0.0012071
13,242.234,3.52391,7.02708,0.2563,0,0,0,0,0,0,0,0,0,3.4644,10.7425,0.2046,0.00391484,0.00130495,0.00391484,0.00130495,0.0789148,0.0763049,0.00391484,0.00130495
14,269.229,3.29069,8.1211,0.27639,0,0,0,0,0,0,0,0,0,3.47045,10.7425,0.2046,0.00420303,0.00140101,0.00420303,0.00140101,0.077203,0.074401,0.00420303,0.00140101
15,296.14,3.23362,9.14841,0.32094,0,0,0,0,0,0,0,0,0,3.47647,10.7425,0.2046,0.00448551,0.00149517,0.00448551,0.00149517,0.0754855,0.0724952,0.00448551,0.00149517
16,309.072,3.59396,5.84751,0.37668,0,0,0,0,0,0,0,0,0,3.48245,10.7425,0.2046,0.00476186,0.00158729,0.00476186,0.00158729,0.0737619,0.0705873,0.00476186,0.00158729
17,329.025,3.6722,7.94088,0.36514,0,0,0,0,0,0,0,0,0,3.48841,10.7425,0.2046,0.00503173,0.00167724,0.00503173,0.00167724,0.0720317,0.0686772,0.00503173,0.00167724
18,345.56,3.36367,7.51465,0.33653,0,0,0,0,0,0,0,0,0,3.49434,10.7425,0.2046,0.00529475,0.00176492,0.00529475,0.00176492,0.0702947,0.0667649,0.00529475,0.00176492
19,361.074,3.91281,16.1483,0.38213,0,0,0,0,0,0,0,0,0,3.49697,10.6904,0.2049,0.00555054,0.00185018,0.00555054,0.00185018,0.0685505,0.0648502,0.00555054,0.00185018
20,378.585,3.45343,8.12464,0.31329,0,0,0,0,0,0,0,0,0,3.50283,10.6904,0.2049,0.00579879,0.00193293,0.00579879,0.00193293,0.0667988,0.0629329,0.00579879,0.00193293
21,390.894,4.15479,7.35133,0.38505,0,0,0,0,0,0,0,0,0,3.50866,10.6904,0.2049,0.00603914,0.00201305,0.00603914,0.00201305,0.0650391,0.061013,0.00603914,0.00201305
22,401.777,3.813,8.18874,0.61307,0,0,0,0,0,0,0,0,0,3.51445,10.6904,0.2049,0.00627129,0.00209043,0.00627129,0.00209043,0.0632713,0.0590904,0.00627129,0.00209043
23,412.999,3.3564,5.80889,0.31627,0,0,0,0,0,0,0,0,0,3.52022,10.6904,0.2049,0.00649493,0.00216498,0.00649493,0.00216498,0.0614949,0.057165,0.00649493,0.00216498
24,433.73,3.1702,7.6892,0.23525,0,0,0,0,0,0,0,0,0,3.52595,10.6904,0.2049,0.00670976,0.00223659,0.00670976,0.00223659,0.0597098,0.0552366,0.00670976,0.00223659
25,446.756,3.5573,7.8573,0.34436,0,0,0,0,0,0,0,0,0,3.53165,10.6904,0.2049,0.00691552,0.00230517,0.00691552,0.00230517,0.0579155,0.0533052,0.00691552,0.00230517
26,461.764,3.58721,22.1912,0.55103,0,0,0,0,0,0,0,0,0,3.53732,10.6904,0.2049,0.00711195,0.00237065,0.00711195,0.00237065,0.056112,0.0513707,0.00711195,0.00237065
27,473.971,3.49742,4.78322,0.33918,0,0,0,0,0,0,0,0,0,3.53875,10.6593,0.20527,0.0072988,0.00243293,0.0072988,0.00243293,0.0542988,0.0494329,0.0072988,0.00243293
28,493.732,3.31793,10.9887,0.38501,0,0,0,0,0,0,0,0,0,3.54435,10.6593,0.20527,0.00747583,0.00249194,0.00747583,0.00249194,0.0524758,0.0474919,0.00747583,0.00249194
29,513.144,3.38646,15.4833,0.47182,0,0,0,0,0,0,0,0,0,3.54992,10.6593,0.20527,0.00764285,0.00254762,0.00764285,0.00254762,0.0506429,0.0455476,0.00764285,0.00254762
30,533.572,3.16488,10.2121,0.3664,0,0,0,0,0,0,0,0,0,3.55545,10.6593,0.20527,0.00779965,0.00259988,0.00779965,0.00259988,0.0487997,0.0435999,0.00779965,0.00259988
31,553.839,3.2267,12.2966,0.29383,0,0,0,0,0,0,0,0,0,3.56096,10.6593,0.20527,0.00794607,0.00264869,0.00794607,0.00264869,0.0469461,0.0416487,0.00794607,0.00264869
32,581.21,3.75059,12.5777,0.42351,0,0,0,0,0,0,0,0,0,3.56643,10.6593,0.20527,0.00808193,0.00269398,0.00808193,0.00269398,0.0450819,0.039694,0.00808193,0.00269398
33,604.627,3.61622,6.2859,0.43796,0,0,0,0,0,0,0,0,0,3.57186,10.6593,0.20527,0.0082071,0.0027357,0.0082071,0.0027357,0.0432071,0.0377357,0.0082071,0.0027357
34,625.465,3.20047,8.89746,0.27129,0,0,0,0,0,0,0,0,0,3.57727,10.6593,0.20527,0.00832146,0.00277382,0.00832146,0.00277382,0.0413215,0.0357738,0.00832146,0.00277382
35,639.771,3.93547,5.14698,0.30143,0,0,0,0,0,0,0,0,0,3.58264,10.6593,0.20527,0.0084249,0.0028083,0.0084249,0.0028083,0.0394249,0.0338083,0.0084249,0.0028083
