epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.4,3.54725,13.3077,0.35727,0,0,0,0,0,0,0,0,0,3.39935,10.2953,0.20461,0.000162,5.4e-05,0.000162,5.4e-05,0.099162,0.099054,0.000162,5.4e-05
2,33.532,3.25663,5.79064,0.31431,0,0,0,0,0,0,0,0,0,3.40441,10.3697,0.20448,0.000485544,0.000161848,0.000485544,0.000161848,0.0974855,0.0971618,0.000485544,0.000161848
3,40.7741,3.38179,6.0839,0.2634,0,0,0,0,0,0,0,0,0,3.41153,10.3697,0.20448,0.000806965,0.000268988,0.000806965,0.000268988,0.095807,0.095269,0.000806965,0.000268988
4,47.9715,2.8957,15.8679,0.28144,0,0,0,0,0,0,0,0,0,3.41631,10.4079,0.2043,0.00112445,0.000374818,0.00112445,0.000374818,0.0941245,0.0933748,0.00112445,0.000374818
5,55.5778,3.60722,5.09923,0.40919,0,0,0,0,0,0,0,0,0,3.42333,10.4079,0.2043,0.00143623,0.000478744,0.00143623,0.000478744,0.0924362,0.0914787,0.00143623,0.000478744
6,64.5926,3.29183,6.37883,0.45326,0,0,0,0,0,0,0,0,0,3.42789,10.4282,0.2042,0.00174055,0.000580183,0.00174055,0.000580183,0.0907405,0.0895802,0.00174055,0.000580183
7,68.1351,3.58045,9.3552,0.34045,0,0,0,0,0,0,0,0,0,3.43481,10.4282,0.2042,0.00203571,0.000678572,0.00203571,0.000678572,0.0890357,0.0876786,0.00203571,0.000678572
8,71.5243,3.80906,6.44036,0.3309,0,0,0,0,0,0,0,0,0,3.44169,10.4282,0.2042,0.00232009,0.000773363,0.00232009,0.000773363,0.0873201,0.0857734,0.00232009,0.000773363
9,80.4116,3.65446,6.50914,0.29702,0,0,0,0,0,0,0,0,0,3.44633,10.4322,0.20412,0.00259211,0.000864035,0.00259211,0.000864035,0.0855921,0.083864,0.00259211,0.000864035
10,87.7913,3.78292,6.95802,0.33224,0,0,0,0,0,0,0,0,0,3.45311,10.4322,0.20412,0.00285028,0.000950093,0.00285028,0.000950093,0.0838503,0.0819501,0.00285028,0.000950093
11,93.9563,3.52126,5.79283,0.33994,0,0,0,0,0,0,0,0,0,3.45985,10.4322,0.20412,0.00309322,0.00103107,0.00309322,0.00103107,0.0820932,0.0800311,0.00309322,0.00103107
12,105.949,3.92179,14.107,0.66788,0,0,0,0,0,0,0,0,0,3.46653,10.4322,0.20412,0.00331963,0.00110654,0.00331963,0.00110654,0.0803196,0.0781065,0.00331963,0.00110654
13,114.515,3.37344,6.54942,0.24388,0,0,0,0,0,0,0,0,0,3.4715,10.4381,0.20422,0.00352833,0.00117611,0.00352833,0.00117611,0.0785283,0.0761761,0.00352833,0.00117611
14,119.171,3.28993,9.28809,0.31089,0,0,0,0,0,0,0,0,0,3.47809,10.4381,0.20422,0.00371825,0.00123942,0.00371825,0.00123942,0.0767183,0.0742394,0.00371825,0.00123942
15,123.575,3.27263,8.67251,0.335,0,0,0,0,0,0,0,0,0,3.48463,10.4381,0.20422,0.00388847,0.00129616,0.00388847,0.00129616,0.0748885,0.0722962,0.00388847,0.00129616
16,129.011,3.76773,5.81121,0.40589,0,0,0,0,0,0,0,0,0,3.49112,10.4381,0.20422,0.00403816,0.00134605,0.00403816,0.00134605,0.0730382,0.0703461,0.00403816,0.00134605
17,132.695,3.4498,8.24376,0.36285,0,0,0,0,0,0,0,0,0,3.49756,10.4381,0.20422,0.00416668,0.00138889,0.00416668,0.00138889,0.0711667,0.0683889,0.00416668,0.00138889
18,136.3,3.50896,7.4442,0.33873,0,0,0,0,0,0,0,0,0,3.50394,10.4381,0.20422,0.0042735,0.0014245,0.0042735,0.0014245,0.0692735,0.0664245,0.0042735,0.0014245
19,139.1,3.46484,12.6738,0.32751,0,0,0,0,0,0,0,0,0,3.50311,10.4465,0.20372,0.00435825,0.00145275,0.00435825,0.00145275,0.0673582,0.0644527,0.00435825,0.00145275
20,142.675,3.84357,7.77548,0.33748,0,0,0,0,0,0,0,0,0,3.5094,10.4465,0.20372,0.00442071,0.00147357,0.00442071,0.00147357,0.0654207,0.0624736,0.00442071,0.00147357
21,150.515,4.11461,7.1509,0.37416,0,0,0,0,0,0,0,0,0,3.51564,10.4465,0.20372,0.00446084,0.00148695,0.00446084,0.00148695,0.0634608,0.0604869,0.00446084,0.00148695
22,153.595,3.70317,7.91193,0.59821,0,0,0,0,0,0,0,0,0,3.52183,10.4465,0.20372,0.00447872,0.00149291,0.00447872,0.00149291,0.0614787,0.0584929,0.00447872,0.00149291
23,158.739,3.52346,5.72851,0.33192,0,0,0,0,0,0,0,0,0,3.52796,10.4465,0.20372,0.00447462,0.00149154,0.00447462,0.00149154,0.0594746,0.0564915,0.00447462,0.00149154
24,164.207,3.41853,7.59289,0.26732,0,0,0,0,0,0,0,0,0,3.53405,10.4465,0.20372,0.00444897,0.00148299,0.00444897,0.00148299,0.057449,0.054483,0.00444897,0.00148299
25,168.099,3.69884,7.38724,0.34516,0,0,0,0,0,0,0,0,0,3.54009,10.4465,0.20372,0.00440234,0.00146745,0.00440234,0.00146745,0.0554023,0.0524674,0.00440234,0.00146745
26,170.801,3.81145,21.3078,0.61267,0,0,0,0,0,0,0,0,0,3.54607,10.4465,0.20372,0.00433548,0.00144516,0.00433548,0.00144516,0.0533355,0.0504452,0.00433548,0.00144516
27,174.702,3.43502,4.85935,0.3314,0,0,0,0,0,0,0,0,0,3.53818,10.444,0.20311,0.00424929,0.00141643,0.00424929,0.00141643,0.0512493,0.0484164,0.00424929,0.00141643
28,179.35,3.39947,10.726,0.38396,0,0,0,0,0,0,0,0,0,3.54407,10.444,0.20311,0.0041448,0.0013816,0.0041448,0.0013816,0.0491448,0.0463816,0.0041448,0.0013816
29,188.496,3.66259,14.247,0.51562,0,0,0,0,0,0,0,0,0,3.54991,10.444,0.20311,0.00402323,0.00134108,0.00402323,0.00134108,0.0470232,0.0443411,0.00402323,0.00134108
30,192.347,3.37006,9.61154,0.38224,0,0,0,0,0,0,0,0,0,3.5557,10.444,0.20311,0.0038859,0.0012953,0.0038859,0.0012953,0.0448859,0.0422953,0.0038859,0.0012953
31,196.707,3.27053,11.5186,0.29318,0,0,0,0,0,0,0,0,0,3.56144,10.444,0.20311,0.00373431,0.00124477,0.00373431,0.00124477,0.0427343,0.0402448,0.00373431,0.00124477
32,202.147,3.66225,11.6138,0.42798,0,0,0,0,0,0,0,0,0,3.56712,10.444,0.20311,0.00357005,0.00119002,0.00357005,0.00119002,0.04057,0.03819,0.00357005,0.00119002
33,207.41,3.54774,7.10675,0.42907,0,0,0,0,0,0,0,0,0,3.57276,10.444,0.20311,0.00339486,0.00113162,0.00339486,0.00113162,0.0383949,0.0361316,0.00339486,0.00113162
34,212.785,3.39672,8.71285,0.27863,0,0,0,0,0,0,0,0,0,3.57835,10.444,0.20311,0.00321058,0.00107019,0.00321058,0.00107019,0.0362106,0.0340702,0.00321058,0.00107019
35,217.806,3.68747,5.07736,0.27631,0,0,0,0,0,0,0,0,0,3.58388,10.444,0.20311,0.00301916,0.00100639,0.00301916,0.00100639,0.0340192,0.0320064,0.00301916,0.00100639
36,222.214,3.18975,16.5958,0.42213,0,0,0,0,0,0,0,0,0,3.58936,10.444,0.20311,0.00282265,0.000940883,0.00282265,0.000940883,0.0318226,0.0299409,0.00282265,0.000940883
37,225.758,3.07888,8.34497,0.48765,0,0,0,0,0,0,0,0,0,3.5948,10.444,0.20311,0.00262318,0.000874392,0.00262318,0.000874392,0.0296232,0.0278744,0.00262318,0.000874392
38,228.971,3.41129,10.2168,0.25865,0,0,0,0,0,0,0,0,0,3.60018,10.444,0.20311,0.00242294,0.000807647,0.00242294,0.000807647,0.0274229,0.0258076,0.00242294,0.000807647
39,232.131,2.94027,8.25403,0.39429,0,0,0,0,0,0,0,0,0,3.60551,10.444,0.20311,0.00222421,0.000741403,0.00222421,0.000741403,0.0252242,0.0237414,0.00222421,0.000741403
40,235.345,3.36324,13.788,0.25518,0,0,0,0,0,0,0,0,0,3.59872,10.458,0.20191,0.0020293,0.000676432,0.0020293,0.000676432,0.0230293,0.0216764,0.0020293,0.000676432
41,237.864,2.66717,9.76375,0.32865,0,0,0,0,0,0,0,0,0,3.60395,10.458,0.20191,0.00184055,0.000613518,0.00184055,0.000613518,0.0208406,0.0196135,0.00184055,0.000613518
