epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/e2e_precision(B),metrics/e2e_recall(B),metrics/e2e_mAP50(B),metrics/e2e_mAP50-95(B),fitness_e2e,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.24462,2.74632,5.94533,0.48616,0,0,0,0,0,0,0,0,0,3.43044,6.17468,0.24723,0.0162,0.0054,0.0162,0.0054,0.0162,0.0054,0.0162,0.0054
2,10.6862,2.73358,6.66539,0.43461,0,0,0,0,0,0,0,0,0,3.43657,6.18498,0.24713,0.0161578,0.00538594,0.0161578,0.00538594,0.0161578,0.00538594,0.0161578,0.00538594
3,14.1491,2.77753,6.59914,0.40333,0,0,0,0,0,0,0,0,0,3.44324,6.19265,0.24708,0.0160318,0.00534392,0.0160318,0.00534392,0.0160318,0.00534392,0.0160318,0.00534392
4,17.5648,3.13992,6.58068,0.34084,0,0,0,0,0,0,0,0,0,3.44946,6.19557,0.24698,0.0158232,0.00527439,0.0158232,0.00527439,0.0158232,0.00527439,0.0158232,0.00527439
5,20.9486,2.91737,6.42784,0.28889,0,0,0,0,0,0,0,0,0,3.45545,6.19753,0.24683,0.0155344,0.00517813,0.0155344,0.00517813,0.0155344,0.00517813,0.0155344,0.00517813
6,24.1689,3.35779,6.42498,0.42976,0,0,0,0,0,0,0,0,0,3.46169,6.19737,0.24673,0.0151685,0.00505617,0.0151685,0.00505617,0.0151685,0.00505617,0.0151685,0.00505617
7,27.3916,2.71571,6.30986,0.49338,0,0,0,0,0,0,0,0,0,3.46811,6.19905,0.24666,0.0147296,0.00490987,0.0147296,0.00490987,0.0147296,0.00490987,0.0147296,0.00490987
8,30.6263,3.4689,6.61157,0.39143,0,0,0,0,0,0,0,0,0,3.47412,6.19817,0.24661,0.0142225,0.00474082,0.0142225,0.00474082,0.0142225,0.00474082,0.0142225,0.00474082
9,33.749,2.72723,6.48777,0.4499,0,0,0,0,0,0,0,0,0,3.47998,6.19811,0.24658,0.0136526,0.00455087,0.0136526,0.00455087,0.0136526,0.00455087,0.0136526,0.00455087
10,36.9756,2.93157,6.1935,0.37203,0,0,0,0,0,0,0,0,0,3.48519,6.19733,0.24651,0.0130263,0.00434211,0.0130263,0.00434211,0.0130263,0.00434211,0.0130263,0.00434211
11,40.2526,3.02072,6.02827,0.3404,0,0,0,0,0,0,0,0,0,3.49026,6.19733,0.24641,0.0123505,0.00411683,0.0123505,0.00411683,0.0123505,0.00411683,0.0123505,0.00411683
